	key	final_y_pred	model_correct	fold	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	status	pos_culture	model
0	survived	didnt_survive	0	f0	0	3	0	1	1	0	1	0.0	decision_tree
1	didnt_survive	survived	0	f0	1	1	0	0	0	1	0	1.0	decision_tree
2	didnt_survive	didnt_survive	1	f0	2	0	0	0	1	0	0	0.0	decision_tree
3	didnt_survive	didnt_survive	1	f0	3	0	1	0	1	1	0	0.0	decision_tree
4	survived	didnt_survive	0	f0	4	4	1	1	1	1	1	1.0	decision_tree
5	didnt_survive	didnt_survive	1	f0	5	1	1	0	0	1	0	1.0	decision_tree
6	survived	survived	1	f0	6	0	0	0	1	0	1	0.0	decision_tree
7	survived	survived	1	f0	7	2	0	0	0	1	1	0.0	decision_tree
8	survived	didnt_survive	0	f0	8	3	0	1	1	0	1	0.0	decision_tree
9	didnt_survive	didnt_survive	1	f0	9	1	0	0	0	1	0	0.0	decision_tree
10	didnt_survive	didnt_survive	1	f1	10	0	1	0	1	1	0	0.0	decision_tree
11	survived	survived	1	f1	11	3	1	1	1	0	1	0.0	decision_tree
12	survived	survived	1	f1	12	3	1	1	1	0	1	0.0	decision_tree
13	survived	survived	1	f1	13	0	0	0	1	0	1	0.0	decision_tree
14	didnt_survive	survived	0	f1	14	4	0	1	1	0	0	1.0	decision_tree
15	didnt_survive	didnt_survive	1	f1	15	0	1	0	1	0	0	0.0	decision_tree
16	survived	survived	1	f1	16	4	1	1	1	0	1	0.0	decision_tree
17	survived	survived	1	f1	17	0	1	0	1	0	1	0.0	decision_tree
18	survived	didnt_survive	0	f1	18	3	0	1	1	0	1	0.0	decision_tree
19	survived	didnt_survive	0	f1	19	2	0	0	0	1	1	0.0	decision_tree
20	didnt_survive	didnt_survive	1	f2	20	1	1	0	0	1	0	1.0	decision_tree
21	didnt_survive	survived	0	f2	21	4	0	1	1	0	0	1.0	decision_tree
22	didnt_survive	didnt_survive	1	f2	22	2	1	0	0	1	0	1.0	decision_tree
23	didnt_survive	didnt_survive	1	f2	23	1	0	0	0	1	0	1.0	decision_tree
24	survived	survived	1	f2	24	0	0	0	1	0	1	0.0	decision_tree
25	didnt_survive	didnt_survive	1	f2	25	2	0	0	0	1	0	0.0	decision_tree
26	didnt_survive	survived	0	f2	26	3	0	1	1	0	0	0.0	decision_tree
27	survived	survived	1	f2	27	3	1	1	1	0	1	0.0	decision_tree
28	survived	didnt_survive	0	f2	28	0	0	0	1	1	1	0.0	decision_tree
29	didnt_survive	didnt_survive	1	f3	29	1	0	0	0	1	0	0.0	decision_tree
30	didnt_survive	didnt_survive	1	f3	30	2	1	0	0	1	0	1.0	decision_tree
31	didnt_survive	didnt_survive	1	f3	31	2	0	0	0	1	0	0.0	decision_tree
32	survived	survived	1	f3	32	4	0	1	1	0	1	1.0	decision_tree
33	survived	didnt_survive	0	f3	33	2	1	0	0	1	1	1.0	decision_tree
34	survived	didnt_survive	0	f3	34	3	0	1	1	0	1	0.0	decision_tree
35	didnt_survive	survived	0	f3	35	4	1	1	1	1	0	1.0	decision_tree
36	survived	survived	1	f3	36	4	0	1	1	0	1	0.0	decision_tree
37	didnt_survive	survived	0	f3	37	4	0	1	1	0	0	1.0	decision_tree
38	didnt_survive	didnt_survive	1	f4	38	2	0	0	0	1	0	0.0	decision_tree
39	didnt_survive	didnt_survive	1	f4	39	1	0	0	0	1	0	0.0	decision_tree
40	survived	survived	1	f4	40	4	1	1	1	0	1	0.0	decision_tree
41	survived	didnt_survive	0	f4	41	3	1	1	1	0	1	0.0	decision_tree
42	survived	survived	1	f4	42	3	1	1	1	1	1	0.0	decision_tree
43	didnt_survive	didnt_survive	1	f4	43	1	1	0	0	1	0	1.0	decision_tree
44	didnt_survive	didnt_survive	1	f4	44	1	1	0	0	1	0	1.0	decision_tree
45	didnt_survive	didnt_survive	1	f4	45	2	1	0	0	1	0	0.0	decision_tree
46	didnt_survive	didnt_survive	1	f4	46	1	1	0	0	1	0	0.0	decision_tree
47	survived	survived	1	f0	0	3	0	1	1	0	1	0.0	grad_boost
48	didnt_survive	didnt_survive	1	f0	1	1	0	0	0	1	0	1.0	grad_boost
49	didnt_survive	didnt_survive	1	f0	2	0	0	0	1	0	0	0.0	grad_boost
50	didnt_survive	survived	0	f0	3	0	1	0	1	1	0	0.0	grad_boost
51	survived	didnt_survive	0	f0	4	4	1	1	1	1	1	1.0	grad_boost
52	didnt_survive	didnt_survive	1	f0	5	1	1	0	0	1	0	1.0	grad_boost
53	survived	survived	1	f0	6	0	0	0	1	0	1	0.0	grad_boost
54	survived	didnt_survive	0	f0	7	2	0	0	0	1	1	0.0	grad_boost
55	survived	didnt_survive	0	f0	8	3	0	1	1	0	1	0.0	grad_boost
56	didnt_survive	didnt_survive	1	f0	9	1	0	0	0	1	0	0.0	grad_boost
57	didnt_survive	didnt_survive	1	f1	10	0	1	0	1	1	0	0.0	grad_boost
58	survived	survived	1	f1	11	3	1	1	1	0	1	0.0	grad_boost
59	survived	survived	1	f1	12	3	1	1	1	0	1	0.0	grad_boost
60	survived	survived	1	f1	13	0	0	0	1	0	1	0.0	grad_boost
61	didnt_survive	survived	0	f1	14	4	0	1	1	0	0	1.0	grad_boost
62	didnt_survive	survived	0	f1	15	0	1	0	1	0	0	0.0	grad_boost
63	survived	survived	1	f1	16	4	1	1	1	0	1	0.0	grad_boost
64	survived	survived	1	f1	17	0	1	0	1	0	1	0.0	grad_boost
65	survived	survived	1	f1	18	3	0	1	1	0	1	0.0	grad_boost
66	survived	didnt_survive	0	f1	19	2	0	0	0	1	1	0.0	grad_boost
67	didnt_survive	didnt_survive	1	f2	20	1	1	0	0	1	0	1.0	grad_boost
68	didnt_survive	survived	0	f2	21	4	0	1	1	0	0	1.0	grad_boost
69	didnt_survive	didnt_survive	1	f2	22	2	1	0	0	1	0	1.0	grad_boost
70	didnt_survive	didnt_survive	1	f2	23	1	0	0	0	1	0	1.0	grad_boost
71	survived	survived	1	f2	24	0	0	0	1	0	1	0.0	grad_boost
72	didnt_survive	didnt_survive	1	f2	25	2	0	0	0	1	0	0.0	grad_boost
73	didnt_survive	survived	0	f2	26	3	0	1	1	0	0	0.0	grad_boost
74	survived	survived	1	f2	27	3	1	1	1	0	1	0.0	grad_boost
75	survived	didnt_survive	0	f2	28	0	0	0	1	1	1	0.0	grad_boost
76	didnt_survive	didnt_survive	1	f3	29	1	0	0	0	1	0	0.0	grad_boost
77	didnt_survive	survived	0	f3	30	2	1	0	0	1	0	1.0	grad_boost
78	didnt_survive	didnt_survive	1	f3	31	2	0	0	0	1	0	0.0	grad_boost
79	survived	survived	1	f3	32	4	0	1	1	0	1	1.0	grad_boost
80	survived	didnt_survive	0	f3	33	2	1	0	0	1	1	1.0	grad_boost
81	survived	didnt_survive	0	f3	34	3	0	1	1	0	1	0.0	grad_boost
82	didnt_survive	survived	0	f3	35	4	1	1	1	1	0	1.0	grad_boost
83	survived	survived	1	f3	36	4	0	1	1	0	1	0.0	grad_boost
84	didnt_survive	survived	0	f3	37	4	0	1	1	0	0	1.0	grad_boost
85	didnt_survive	didnt_survive	1	f4	38	2	0	0	0	1	0	0.0	grad_boost
86	didnt_survive	didnt_survive	1	f4	39	1	0	0	0	1	0	0.0	grad_boost
87	survived	survived	1	f4	40	4	1	1	1	0	1	0.0	grad_boost
88	survived	survived	1	f4	41	3	1	1	1	0	1	0.0	grad_boost
89	survived	survived	1	f4	42	3	1	1	1	1	1	0.0	grad_boost
90	didnt_survive	didnt_survive	1	f4	43	1	1	0	0	1	0	1.0	grad_boost
91	didnt_survive	didnt_survive	1	f4	44	1	1	0	0	1	0	1.0	grad_boost
92	didnt_survive	didnt_survive	1	f4	45	2	1	0	0	1	0	0.0	grad_boost
93	didnt_survive	didnt_survive	1	f4	46	1	1	0	0	1	0	0.0	grad_boost
94	survived	didnt_survive	0	f0	0	3	0	1	1	0	1	0.0	random_forest
95	didnt_survive	didnt_survive	1	f0	1	1	0	0	0	1	0	1.0	random_forest
96	didnt_survive	didnt_survive	1	f0	2	0	0	0	1	0	0	0.0	random_forest
97	didnt_survive	didnt_survive	1	f0	3	0	1	0	1	1	0	0.0	random_forest
98	survived	didnt_survive	0	f0	4	4	1	1	1	1	1	1.0	random_forest
99	didnt_survive	didnt_survive	1	f0	5	1	1	0	0	1	0	1.0	random_forest
100	survived	survived	1	f0	6	0	0	0	1	0	1	0.0	random_forest
101	survived	survived	1	f0	7	2	0	0	0	1	1	0.0	random_forest
102	survived	didnt_survive	0	f0	8	3	0	1	1	0	1	0.0	random_forest
103	didnt_survive	didnt_survive	1	f0	9	1	0	0	0	1	0	0.0	random_forest
104	didnt_survive	survived	0	f1	10	0	1	0	1	1	0	0.0	random_forest
105	survived	survived	1	f1	11	3	1	1	1	0	1	0.0	random_forest
106	survived	survived	1	f1	12	3	1	1	1	0	1	0.0	random_forest
107	survived	survived	1	f1	13	0	0	0	1	0	1	0.0	random_forest
108	didnt_survive	survived	0	f1	14	4	0	1	1	0	0	1.0	random_forest
109	didnt_survive	didnt_survive	1	f1	15	0	1	0	1	0	0	0.0	random_forest
110	survived	survived	1	f1	16	4	1	1	1	0	1	0.0	random_forest
111	survived	survived	1	f1	17	0	1	0	1	0	1	0.0	random_forest
112	survived	didnt_survive	0	f1	18	3	0	1	1	0	1	0.0	random_forest
113	survived	didnt_survive	0	f1	19	2	0	0	0	1	1	0.0	random_forest
114	didnt_survive	didnt_survive	1	f2	20	1	1	0	0	1	0	1.0	random_forest
115	didnt_survive	survived	0	f2	21	4	0	1	1	0	0	1.0	random_forest
116	didnt_survive	didnt_survive	1	f2	22	2	1	0	0	1	0	1.0	random_forest
117	didnt_survive	didnt_survive	1	f2	23	1	0	0	0	1	0	1.0	random_forest
118	survived	survived	1	f2	24	0	0	0	1	0	1	0.0	random_forest
119	didnt_survive	didnt_survive	1	f2	25	2	0	0	0	1	0	0.0	random_forest
120	didnt_survive	survived	0	f2	26	3	0	1	1	0	0	0.0	random_forest
121	survived	survived	1	f2	27	3	1	1	1	0	1	0.0	random_forest
122	survived	didnt_survive	0	f2	28	0	0	0	1	1	1	0.0	random_forest
123	didnt_survive	didnt_survive	1	f3	29	1	0	0	0	1	0	0.0	random_forest
124	didnt_survive	didnt_survive	1	f3	30	2	1	0	0	1	0	1.0	random_forest
125	didnt_survive	didnt_survive	1	f3	31	2	0	0	0	1	0	0.0	random_forest
126	survived	survived	1	f3	32	4	0	1	1	0	1	1.0	random_forest
127	survived	didnt_survive	0	f3	33	2	1	0	0	1	1	1.0	random_forest
128	survived	didnt_survive	0	f3	34	3	0	1	1	0	1	0.0	random_forest
129	didnt_survive	survived	0	f3	35	4	1	1	1	1	0	1.0	random_forest
130	survived	survived	1	f3	36	4	0	1	1	0	1	0.0	random_forest
131	didnt_survive	survived	0	f3	37	4	0	1	1	0	0	1.0	random_forest
132	didnt_survive	didnt_survive	1	f4	38	2	0	0	0	1	0	0.0	random_forest
133	didnt_survive	didnt_survive	1	f4	39	1	0	0	0	1	0	0.0	random_forest
134	survived	survived	1	f4	40	4	1	1	1	0	1	0.0	random_forest
135	survived	didnt_survive	0	f4	41	3	1	1	1	0	1	0.0	random_forest
136	survived	survived	1	f4	42	3	1	1	1	1	1	0.0	random_forest
137	didnt_survive	didnt_survive	1	f4	43	1	1	0	0	1	0	1.0	random_forest
138	didnt_survive	didnt_survive	1	f4	44	1	1	0	0	1	0	1.0	random_forest
139	didnt_survive	survived	0	f4	45	2	1	0	0	1	0	0.0	random_forest
140	didnt_survive	didnt_survive	1	f4	46	1	1	0	0	1	0	0.0	random_forest
